ID,Reviews,Satisfaction
3931,initially   put lotrel 10 20 moderate hypertension   lost weight improved lifestyle   bp started low   dr  lowered dosage 5 10   successfully taken years   really sure lotrel generic   seems like depends pharmacy and or changes insurance     know related med   last year   developed extreme rash unbearable itching   dermatologist    ve seen 2 different ones   prescribed multitude creams   moisturizers   steroids   etc   possible diagnoses contact dermatitis   way     changes locations   inside forearms   stomach   back,Positive
3940,medication caused blood pressure elevate taking couple months   numbers would 158 108   dehydrated urinating constantly   swelling fingers   ankles feet,Negative
3959,medication 2 weeks   side effects similar flu plus swelling left side throat   ear pain   also constant drip fluid left side head left ear   stopped med 2 weeks   treated ear infection 1 month later   seen er chest pain   saw primary first 2 weeks felt flu imagination   left side head felt like closed   ringing ears decreased hearing   verified hearing test   ringing lessened lot past 2 years   changed primary doctors losartan hct amlodipine   side effects controls bp,Negative
3968,scratchy throat makes cough day   night   cough wet like water lungs   leg pain   knee hurts every   2 mo   dont like,Negative
3978,since starting lotrel   lab work showing low white blood cell   wonder drug lotrel cause,Positive
3999,drug lowered     notice serve side effects   calves feet swell   joints ache   muscle fatigue   headaches   urine change coloration would suggest med serve effect kidney    ve medication 4 months   hopes new doctor address issue better solution   treatment   use lotrel,Negative
4016,taking lotrel 5 20 10 years great results   get generic brand less,Positive
4028,drug worked high blood pressure   would love able get cheaper   unitedhealthcare prescription coverage still pay   200 pocket   tried 9   high blood pressure drugs none work like lotrel,Positive
4057,take lotrel 5 20   reduced 5 40   morning bp little higher first morning   doc sugested taking evening night   comment would appreciated,Positive
4063,cases dizziness,Positive
4078,bp lower feel tired want nap allthe time,Positive
4091,taking medications like benicar norvacs worked better side effects,Positive
4097,medicine caused much grief anguish short period used   dry cough last 3 1 2 months along faced swollen tongue   need add discomfort wasp stung medicine   doctors office dry cough sadly say found relief   wear sanitary napkins daily cough hoarse urine seeps   public places dry cough occurs people stopped stare   dont know coming cold flu   mail processing clerk united states postal service difficult maintained around coworkers   church cough annoying missing church services avoided going social functions   however   keep bottle water times even upon retiring night   cough drops   lemons   pepper mint robitussin   long acting coughgels     need relief want life back   please help   afro american female aware discomforts associated drug   drug ban,Negative
4106,controls bp   side effect dizziness   used never get car sick   careful keep meclizine close,Positive
4113,ve taken drug 10  years successfully help control high blood pressure   effective side effects,Positive
4122,4 years use developed serious side effects skin rash   heavy sweating   severe heat intollerance   vision changes   difficult swallowing   light headed   fatigued   took 8 weeks get better   still mild skin issues,Negative
4128,since  ve taking medication bowles move right   problems what   carrie howard,Negative
